DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2007
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"350010 Adamantina";-;-;-;-;-;-;-;-;312;-;-;-;-;-;-;-;-;312
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;11
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;101
"350040 Águas da Prata";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
"350050 Águas de Lindóia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"350070 Agudos";-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;51
"350090 Altair";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"350110 Alto Alegre";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;22
"350150 Alvinlândia";-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;7
"350160 Americana";-;-;-;-;-;-;686;-;-;-;-;-;-;-;-;-;-;686
"350170 Américo Brasiliense";-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;16
"350190 Amparo";-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;27
"350200 Analândia";-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"350210 Andradina";-;2604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2604
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182;182
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;67
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"350280 Araçatuba";-;2485;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2485
"350300 Aramina";-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;46
"350320 Araraquara";-;-;328;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328
"350330 Araras";-;-;-;-;-;-;-;-;-;435;-;-;-;-;-;-;-;435
"350335 Arco-Íris";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350340 Arealva";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;39
"350380 Artur Nogueira";-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;87
"350390 Arujá";10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350400 Assis";-;-;-;-;-;-;-;-;182;-;-;-;-;-;-;-;-;182
"350410 Atibaia";-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;23
"350420 Auriflama";-;596;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;596
"350430 Avaí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;3
"350440 Avanhandava";-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160
"350450 Avaré";-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;13
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;-;-;156
"350470 Balbinos";-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;28
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;77
"350510 Barbosa";-;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256
"350520 Bariri";-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;79
"350530 Barra Bonita";-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;10
"350550 Barretos";-;-;-;-;504;-;-;-;-;-;-;-;-;-;-;-;-;504
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;13
"350570 Barueri";728;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;728
"350580 Bastos";-;-;-;-;-;-;-;-;579;-;-;-;-;-;-;-;-;579
"350590 Batatais";-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;5
"350600 Bauru";-;-;-;-;-;1999;-;-;-;-;-;-;-;-;-;-;-;1999
"350610 Bebedouro";-;-;-;-;3234;-;-;-;-;-;-;-;-;-;-;-;-;3234
